ccaa,provincia,anyo,cob_100mbps_pct,delta_yoy,ranking_anio
Murcia (Región De),Murcia,2019,83.535,5.2463,17
Murcia (Región De),Murcia,2020,86.9388,3.4038,20
Murcia (Región De),Murcia,2021,88.227,1.2882,21
Murcia (Región De),Murcia,2022,91.0725,2.8455,21
Murcia (Región De),Murcia,2023,92.3143,1.2418,29
Murcia (Región De),Murcia,2024,94.2678,1.9535,22
Andalucía,Málaga,2013,29.8001,,39
Andalucía,Málaga,2014,41.6836,11.8835,34
Andalucía,Málaga,2015,57.2965,15.6129,24
Andalucía,Málaga,2016,65.8491,8.5526,21
Andalucía,Málaga,2017,80.0441,14.195,12
Andalucía,Málaga,2018,83.7298,3.6857,13
Andalucía,Málaga,2019,82.7164,-1.0134,19
Andalucía,Málaga,2020,93.8829,11.1665,6
Andalucía,Málaga,2021,93.3424,-0.5405,9
Andalucía,Málaga,2022,92.5602,-0.7822,16
Andalucía,Málaga,2023,93.6134,1.0532,21
Andalucía,Málaga,2024,95.3567,1.7433,17
Navarra (Comunidad Foral),Navarra,2013,60.2303,,15
Navarra (Comunidad Foral),Navarra,2014,68.2018,7.9715,14
Navarra (Comunidad Foral),Navarra,2015,69.2282,1.0264,13
Navarra (Comunidad Foral),Navarra,2016,71.3308,2.1026,14
Navarra (Comunidad Foral),Navarra,2017,78.5412,7.2104,14
Navarra (Comunidad Foral),Navarra,2018,80.0621,1.5209,17
Navarra (Comunidad Foral),Navarra,2019,81.1594,1.0973,23
Navarra (Comunidad Foral),Navarra,2020,79.8094,-1.35,28
Navarra (Comunidad Foral),Navarra,2021,85.4854,5.676,30
Navarra (Comunidad Foral),Navarra,2022,91.1047,5.6193,20
Navarra (Comunidad Foral),Navarra,2023,93.0556,1.9509,23
Navarra (Comunidad Foral),Navarra,2024,93.8814,0.8258,23
Galicia,Ourense,2013,48.8864,,25
Galicia,Ourense,2014,49.0956,0.2092,28
Galicia,Ourense,2015,49.8895,0.7939,30
Galicia,Ourense,2016,50.6469,0.7574,32
Galicia,Ourense,2017,52.5433,1.8964,39
Galicia,Ourense,2018,53.6497,1.1064,46
Galicia,Ourense,2019,56.8118,3.1621,45
Galicia,Ourense,2020,65.9519,9.1401,47
Galicia,Ourense,2021,70.5756,4.6237,43
Galicia,Ourense,2022,72.2897,1.7141,45
Galicia,Ourense,2023,75.1007,2.811,49
Galicia,Ourense,2024,70.9643,-4.1364,51
Castilla Y León,Palencia,2013,47.4215,,27
Castilla Y León,Palencia,2014,47.4215,0.0,29
Castilla Y León,Palencia,2015,47.5234,0.1019,32
Castilla Y León,Palencia,2016,48.2859,0.7625,34
Castilla Y León,Palencia,2017,61.0168,12.7309,28
Castilla Y León,Palencia,2018,64.2952,3.2784,34
Castilla Y León,Palencia,2019,66.7715,2.4763,39
Castilla Y León,Palencia,2020,73.9209,7.1494,40
Castilla Y León,Palencia,2021,68.5422,-5.3787,45
Castilla Y León,Palencia,2022,73.1659,4.6237,44
Castilla Y León,Palencia,2023,84.7777,11.6118,40
Castilla Y León,Palencia,2024,92.8191,8.0414,31
Canarias,"Palmas, Las",2013,40.9134,,33
Canarias,"Palmas, Las",2014,44.423,3.5096,32
Canarias,"Palmas, Las",2015,53.6534,9.2304,27
Canarias,"Palmas, Las",2016,63.9445,10.2911,22
Canarias,"Palmas, Las",2017,67.7169,3.7724,23
Canarias,"Palmas, Las",2018,75.9014,8.1845,21
Canarias,"Palmas, Las",2019,81.2416,5.3402,22
Canarias,"Palmas, Las",2020,85.427,4.1854,23
Canarias,"Palmas, Las",2021,92.9345,7.5075,10
Canarias,"Palmas, Las",2022,93.0247,0.0902,12
Canarias,"Palmas, Las",2023,93.6472,0.6225,20
Canarias,"Palmas, Las",2024,93.514,-0.1332,27
Galicia,Pontevedra,2013,49.9135,,22
Galicia,Pontevedra,2014,49.9094,-0.0041,25
Galicia,Pontevedra,2015,52.1408,2.2314,28
Galicia,Pontevedra,2016,56.3463,4.2055,27
Galicia,Pontevedra,2017,57.4788,1.1325,33
Galicia,Pontevedra,2018,61.4563,3.9775,38
Galicia,Pontevedra,2019,67.624,6.1677,37
